Designator,Mid X,Mid Y,Rotation,Layer
C1,8.0,-37.5,270.0,top
C10,12.5,-3.0,0.0,top
C2,9.0,-33.5,180.0,top
C3,4.0,-33.5,180.0,top
C4,9.0,-30.5,180.0,top
C5,4.0,-30.5,180.0,top
C6,15.5,-21.5,270.0,top
C7,8.5,-26.0,180.0,top
C8,8.5,-24.0,180.0,top
C9,4.5,-16.5,270.0,top
D1,14.5,-35.0,270.0,top
D2,45.5,-7.5,90.0,top
D3,54.5,-9.5,0.0,top
D4,4.0,-37.5,270.0,top
F1,9.75,-40.5,0.0,top
J1,7.5,-47.5,0.0,top
J2,85.83,-32.5,90.0,top
J3,22.5,-40.0,0.0,top
J4,22.5,-57.5,0.0,top
Q1,11.0,-37.5,180.0,top
Q2,13.0,-12.5,270.0,top
Q3,20.5,-31.5,270.0,top
Q4,20.5,-49.5,0.0,top
R1,14.5,-39.5,270.0,top
R10,54.5,-6.0,0.0,top
R11,58.0,-6.0,0.0,top
R12,45.5,-55.5,90.0,top
R13,45.5,-45.5,90.0,top
R14,45.5,-35.5,90.0,top
R15,45.5,-25.5,90.0,top
R16,45.5,-15.5,90.0,top
R17,37.5,-55.5,90.0,top
R18,37.5,-45.5,90.0,top
R19,37.5,-35.5,90.0,top
R2,60.0,-42.0,90.0,top
R20,37.5,-25.5,90.0,top
R21,37.5,-15.5,90.0,top
R22,37.5,-9.0,90.0,top
R23,6.0,-37.5,270.0,top
R24,19.0,-27.5,90.0,top
R25,4.5,-23.5,90.0,top
R26,4.5,-20.0,90.0,top
R27,16.5,-11.5,180.0,top
R28,12.175,-15.5,0.0,top
R29,12.5,-7.0,0.0,top
R3,60.0,-33.0,90.0,top
R30,15.5,-47.5,270.0,top
R31,21.0,-27.5,270.0,top
R32,17.5,-49.5,270.0,top
R33,23.5,-31.5,270.0,top
R34,23.5,-49.5,270.0,top
R35,14.5,-44.5,0.0,top
R4,60.0,-24.0,90.0,top
R5,60.0,-15.0,90.0,top
R6,53.0,-42.0,90.0,top
R7,53.0,-33.0,90.0,top
R8,53.0,-24.0,90.0,top
R9,53.0,-15.0,90.0,top
U1,41.0,-7.0,0.0,top
U2,32.0,-9.0,180.0,top
U3,10.0,-20.0,180.0,top
