digikey品番,購入個数,実装個数,説明
1276-1000-1-ND,3,3,"mlcc, 0.1u, 1608"
445-5662-1-ND,2,2,"mlcc, 10n, 1608"
4587-C1206X102K102TXCT-ND,1,1,"mlcc, 1000p, 3216"
1276-6767-1-ND,4,4,"mlcc, 10u, 3216"
1292-1644-1-ND,1,1,"mlcc, 100p, 1608"
1276-1029-1-ND,2,2,"mlcc, 1u, 2012"
3757-PZ1AH11B-AU_R1_000A1CT-ND,1,1,"zener, PZ1AH11B-AU"
31-DFLZ24Q-7CT-ND,2,2,"Zener, DFLZ24Q-7"
3147-B1911PG--20D000514U1930CT-ND,1,1,"LED, G"
507-0ABB-1000-TMCT-ND,1,1,"Fuse, 32VDC, 1A"
455-BM02B-PASS-1-TFTCT-ND,3,3,"PA, 2pin, Vertical"
900-0194270040-ND,1,1,"MX150L, 19427, 2pin"
DMP3098LQ-7DICT-ND,1,1,PMOS
3757-2N7002K-AU_R1_000A2CT-ND,3,3,NMOS
P100KHCT-ND,5,5,"R, 100k, 1608"
P15.4KHCT-ND,1,1,"R, 15.4k, 1608"
2019-RK73B1JTTD432JCT-ND,1,1,"R, 4.3k, 1608"
311-10.0KHRCT-ND,5,5,"R, 10k, 1608"
A143342CT-ND,10,10,"R, 15k, 5025"
541-RCC1206220KFKEACT-ND,8,8,"R, 220k, 3216"
A129715CT-ND,1,1,"R, 180k, 1608"
311-51.0KHRCT-ND,1,1,"R, 51k, 1608"
P100HCT-ND,3,3,"R, 100, 1608"
P1.0MALCT-ND,1,1,"R, 1M, 3216"
2019-RK73Z1JTTDCT-ND,2,2,"R, 0, 1608"
296-17333-1-ND,1,1,Shunt Regulator
TLP291(GBSE-ND,1,1,Photo Coupler
296-22999-1-ND,1,1,Timer
NCV20071SN2T1GOSCT-ND,1,1,Opamp
